               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067604,            0.028162,                   0,              0.7233,             0.42858,             0.63751,             0.29272,            0.036528,            0.011858,                   0,            0.070882,           0.0032353,           0.0032353
                   1,            0.041744,            0.023134,                   0,             0.63501,             0.82716,             0.77511,             0.42124,            0.042957,           0.0049611,                   0,            0.040557,           0.0062435,           0.0062435
                   2,            0.039656,            0.017286,                   0,             0.79802,             0.63934,             0.80319,             0.33683,             0.04326,           0.0044403,                   0,           0.0099021,           0.0089217,           0.0089217
                   3,            0.039938,             0.01484,                   0,             0.60358,             0.81967,             0.70364,             0.43086,             0.03912,             0.00417,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.034059,            0.013045,                   0,             0.96521,             0.90958,             0.96714,             0.64173,            0.036548,           0.0034538,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.031842,             0.01253,                   0,             0.96757,             0.97819,             0.98146,             0.53982,            0.033193,           0.0039184,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.027183,            0.011421,                   0,             0.99234,             0.96721,             0.96959,             0.67496,            0.033636,           0.0029955,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.025443,            0.010614,                   0,             0.93397,             0.98361,             0.97395,             0.75016,            0.032416,           0.0031309,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.023271,            0.010414,                   0,             0.98303,             0.94955,             0.98283,             0.72955,            0.032301,           0.0033343,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.023809,           0.0097039,                   0,             0.96233,             0.91803,             0.96501,             0.67124,            0.033523,           0.0035778,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.022259,           0.0097842,                   0,             0.99942,             0.98361,             0.98545,             0.83454,            0.028185,           0.0022729,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.021977,           0.0090187,                   0,                   1,             0.98353,             0.98571,             0.83099,            0.029787,           0.0023556,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.020376,           0.0091907,                   0,             0.99901,             0.98361,              0.9859,             0.85326,            0.027707,           0.0021371,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.016895,           0.0087814,                   0,             0.99861,             0.98361,             0.98657,             0.86073,             0.02822,           0.0019792,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.017703,           0.0082404,                   0,             0.99899,             0.98361,             0.98677,              0.8786,            0.027473,           0.0018836,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.018111,           0.0087743,                   0,             0.99887,             0.98361,             0.98673,             0.90371,            0.027106,           0.0017234,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.016498,            0.008037,                   0,             0.99865,             0.98361,             0.98696,             0.90936,            0.027383,           0.0017225,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.016924,           0.0078413,                   0,             0.99961,             0.98361,             0.98702,             0.90181,            0.026972,           0.0017941,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.015748,           0.0082873,                   0,             0.99853,             0.98361,             0.98704,             0.90156,            0.027307,           0.0018577,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.013672,           0.0079295,                   0,             0.99891,             0.98361,             0.98739,             0.90207,            0.027077,           0.0016639,                   0,             0.00109,             0.00109,             0.00109
